File,Line,Code
Evolve-main/examples/forecasting_example.py,63,"print(f""❌ Error during forecasting: {e}"")"
Evolve-main/examples/forecasting_example.py,72,"print(f""\n🔄 Forecasting multiple tickers: {', '.join(tickers)}"")"
Evolve-main/examples/forecasting_example.py,73,"print(""="" * 60)"
Evolve-main/examples/forecasting_example.py,76,"print(f""\n📈 Processing {ticker}..."")"
Evolve-main/examples/forecasting_example.py,90,"print(f""  Current: ${results[ticker]['current_price']:.2f}"")"
Evolve-main/examples/forecasting_example.py,91,"print(f""  Predicted: ${results[ticker]['predicted_price']:.2f}"")"
Evolve-main/examples/forecasting_example.py,92,"print(f""  Change: {results[ticker]['change_pct']:+.2f}%"")"
Evolve-main/examples/forecasting_example.py,95,"print(f""  ❌ Error with {ticker}: {e}"")"
Evolve-main/examples/forecasting_example.py,101,"print(""🎯 EVOLVE FORECASTING EXAMPLE"")"
Evolve-main/examples/forecasting_example.py,102,"print(""="" * 50)"
Evolve-main/examples/forecasting_example.py,110,"print(""\n🎉 Example completed!"")"
Evolve-main/legacy/fix_performance_logger.py,13,"print(f""File {file_path} not found"")"
Evolve-main/legacy/fix_performance_logger.py,31,"print(""Fixed PerformanceLogger __init__ method"")"
Evolve-main/legacy/fix_performance_logger.py,33,"print(""Could not find the problematic line to fix"")"
Evolve-main/legacy/fix_syntax_errors.py,13,"print(f""File {file_path} not found"")"
Evolve-main/legacy/fix_syntax_errors.py,27,"print(""Fixed run_forecasting_pipeline.py"")"
Evolve-main/legacy/fix_syntax_errors.py,29,"print(""Could not find the problematic line in run_forecasting_pipeline.py"")"
Evolve-main/legacy/fix_syntax_errors.py,36,"print(f""File {file_path} not found"")"
Evolve-main/legacy/fix_syntax_errors.py,50,"print(""Fixed agents/model_generator.py"")"
Evolve-main/legacy/fix_syntax_errors.py,52,"print(""Could not find the problematic line in agents/model_generator.py"")"
Evolve-main/legacy/fix_syntax_errors.py,59,"print(f""File {file_path} not found"")"
Evolve-main/legacy/fix_syntax_errors.py,73,"print(""Fixed memory/performance_weights.py"")"
Evolve-main/legacy/fix_syntax_errors.py,75,"print(""Could not find the problematic line in memory/performance_weights.py"")"
Evolve-main/legacy/fix_syntax_errors.py,82,"print(f""File {file_path} not found"")"
Evolve-main/legacy/fix_syntax_errors.py,96,"print(""Fixed scripts/manage_incident.py"")"
Evolve-main/legacy/fix_syntax_errors.py,98,"print(""Could not find the problematic line in scripts/manage_incident.py"")"
Evolve-main/legacy/fix_syntax_errors.py,105,"print(f""File {file_path} not found"")"
Evolve-main/legacy/fix_syntax_errors.py,119,"print(""Fixed scripts/manage_logs.py"")"
Evolve-main/legacy/fix_syntax_errors.py,121,"print(""Could not find the problematic line in scripts/manage_logs.py"")"
Evolve-main/legacy/fix_syntax_errors.py,125,"print(""Fixing critical syntax errors..."")"
Evolve-main/legacy/fix_syntax_errors.py,133,"print(""Syntax error fixes completed!"")"
Evolve-main/memory/performance_weights.py,161,"print(f""[DRIFT] {model} weight changed by {drift:.2f} on {ticker}"")"
Evolve-main/models/forecast_router.py,363,except:
Evolve-main/models/forecast_router.py,378,except:
Evolve-main/models/forecast_router.py,552,"print(f""Could not plot results: {e}"")"
Evolve-main/models/forecast_router.py,567,"print(f""Forecast result: {result}"")"
Evolve-main/models/tft_model.py,592,self.model.eval()
Evolve-main/models/tft_model.py,622,self.model.eval()
Evolve-main/pages/settings.py,144,# TODO: Implement configuration saving
Evolve-main/pages/settings.py,150,# TODO: Implement configuration reset
Evolve-main/rl/strategy_trainer_backup.py,407,"print(""Evaluation metrics:"", metrics)"
Evolve-main/scripts/cleanup_requirements.py,219,"print(""✅ Requirements cleanup completed successfully"")"
Evolve-main/scripts/cleanup_requirements.py,221,"print(f""📊 Report: {report}"")"
Evolve-main/scripts/cleanup_requirements.py,223,"print(""❌ Requirements cleanup failed"")"
Evolve-main/scripts/cleanup_requirements.py,226,"print(f""❌ Error: {e}"")"
Evolve-main/scripts/generate_docs.py,44,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/generate_docs.py,54,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/launch_institutional_system.py,502,"print(json.dumps(status, indent=2))"
Evolve-main/scripts/launch_institutional_system.py,512,"print(f""❌ {service_name}: {service_status['status']}"")"
Evolve-main/scripts/launch_institutional_system.py,514,"print(f""✅ {service_name}: {service_status['status']}"")"
Evolve-main/scripts/launch_institutional_system.py,517,"print(""🎉 All services are healthy"")"
Evolve-main/scripts/launch_institutional_system.py,520,"print(""⚠️  Some services are not healthy"")"
Evolve-main/scripts/launch_unified_interface.py,71,"print(f""Error loading config: {e}"")"
Evolve-main/scripts/launch_unified_interface.py,86,"print(""🔮 Evolve Unified Interface - Demo Mode"")"
Evolve-main/scripts/launch_unified_interface.py,87,"print(""="" * 60)"
Evolve-main/scripts/launch_unified_interface.py,101,"print(f""\n📝 Executing: {command}"")"
Evolve-main/scripts/launch_unified_interface.py,102,"print(""-"" * 40)"
Evolve-main/scripts/launch_unified_interface.py,107,"print(f""❌ Error: {result.get('error')}"")"
Evolve-main/scripts/launch_unified_interface.py,111,"print(""-"" * 40)"
Evolve-main/scripts/launch_unified_interface.py,113,"print(""\n✅ Demo completed!"")"
Evolve-main/scripts/launch_unified_interface.py,117,"print(f""🔮 Executing: {command}"")"
Evolve-main/scripts/launch_unified_interface.py,118,"print(""="" * 50)"
Evolve-main/scripts/launch_unified_interface.py,123,"print(f""❌ Error: {result.get('error')}"")"
Evolve-main/scripts/launch_unified_interface.py,134,"print(f""📋 {help_data['overview']['title']}"")"
Evolve-main/scripts/launch_unified_interface.py,135,"print(f""Version: {help_data['overview']['version']}"")"
Evolve-main/scripts/launch_unified_interface.py,136,"print(f""\n{help_data['overview']['description']}"")"
Evolve-main/scripts/launch_unified_interface.py,138,"print(""\n🚀 Quick Start Examples:"")"
Evolve-main/scripts/launch_unified_interface.py,140,"print(f""  {example}"")"
Evolve-main/scripts/launch_unified_interface.py,143,"print(""🤖 QuantGPT Response:"")"
Evolve-main/scripts/launch_unified_interface.py,145,print(result['result']['gpt_commentary'])
Evolve-main/scripts/launch_unified_interface.py,147,"print(result.get('result', 'No response'))"
Evolve-main/scripts/launch_unified_interface.py,150,"print(f""✅ {result_type.title()} completed"")"
Evolve-main/scripts/launch_unified_interface.py,151,"print(f""Symbol: {result.get('symbol', 'N/A')}"")"
Evolve-main/scripts/launch_unified_interface.py,153,"print(""Details:"", result['result'])"
Evolve-main/scripts/launch_unified_interface.py,157,"print(f""📋 {result_type.replace('_', ' ').title()}:"")"
Evolve-main/scripts/launch_unified_interface.py,159,"print(f""  - {item}"")"
Evolve-main/scripts/launch_unified_interface.py,162,"print(""✅ Command completed successfully"")"
Evolve-main/scripts/launch_unified_interface.py,164,"print(""Result:"", result['result'])"
Evolve-main/scripts/launch_unified_interface.py,178,"print(""🔮 Launching Streamlit interface..."")"
Evolve-main/scripts/launch_unified_interface.py,179,"print(""📱 Open your browser to: http://localhost:8501"")"
Evolve-main/scripts/launch_unified_interface.py,180,"print(""⏹️  Press Ctrl+C to stop"")"
Evolve-main/scripts/launch_unified_interface.py,185,"print(""❌ Streamlit not installed. Install with: pip install streamlit"")"
Evolve-main/scripts/launch_unified_interface.py,188,"print(""\n👋 Streamlit interface stopped"")"
Evolve-main/scripts/launch_unified_interface.py,190,"print(f""❌ Error launching Streamlit: {e}"")"
Evolve-main/scripts/manage.py,89,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage.py,103,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage.py,322,print(__doc__)
Evolve-main/scripts/manage_api.py,87,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_api.py,97,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_api.py,297,"print(""\nAPI Test Results:"")"
Evolve-main/scripts/manage_api.py,298,"print(""\nEndpoints:"")"
Evolve-main/scripts/manage_api.py,301,"print(f""{status} {result['endpoint']}"")"
Evolve-main/scripts/manage_api.py,303,"print(f""  Error: {result.get('error', 'Unknown error')}"")"
Evolve-main/scripts/manage_api.py,307,"print(""\nAPI Monitoring Metrics:"")"
Evolve-main/scripts/manage_api.py,319,"print(f""\n{endpoint}:"")"
Evolve-main/scripts/manage_api.py,324,"print(f""  Average Latency: {sum(latencies) / len(latencies):.3f}s"")"
Evolve-main/scripts/manage_api.py,325,"print(f""  Min Latency: {min(latencies):.3f}s"")"
Evolve-main/scripts/manage_api.py,326,"print(f""  Max Latency: {max(latencies):.3f}s"")"
Evolve-main/scripts/manage_api.py,331,"print(f""  Errors: {len(errors)}"")"
Evolve-main/scripts/manage_api.py,333,"print(f""    - {error['error']}"")"
Evolve-main/scripts/manage_backup.py,73,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_backup.py,83,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_backup.py,596,"print(""\nAvailable Backups:"")"
Evolve-main/scripts/manage_backup.py,599,"print(f""\nTimestamp: {backup['timestamp']}"")"
Evolve-main/scripts/manage_backup.py,600,"print(f""Type: {backup['type']}"")"
Evolve-main/scripts/manage_backup.py,601,"print(f""Target: {backup['target']}"")"
Evolve-main/scripts/manage_backup.py,602,"print(f""Size: {backup['metadata']['size'] / 1024 / 1024:.2f} MB"")"
Evolve-main/scripts/manage_backup.py,603,"print(""Components:"")"
Evolve-main/scripts/manage_backup.py,605,"print(f""  {component}: {len(paths)} files"")"
Evolve-main/scripts/manage_config.py,64,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_config.py,74,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_config.py,393,"print(""\nConfiguration Validation Results:"")"
Evolve-main/scripts/manage_config.py,394,"print(f""\nTimestamp: {results['timestamp']}"")"
Evolve-main/scripts/manage_config.py,395,"print(f""Config Path: {results['config_path']}"")"
Evolve-main/scripts/manage_config.py,396,"print(f""Valid: {'���' if results['valid'] else '���'}"")"
Evolve-main/scripts/manage_config.py,399,"print(""\nIssues:"")"
Evolve-main/scripts/manage_config.py,401,"print(f""  - {issue}"")"
Evolve-main/scripts/manage_dashboard.py,79,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_dashboard.py,89,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_data.py,60,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_data.py,70,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_data.py,270,"print(f""{file_path} ({size:,} bytes, modified: {modified})"")"
Evolve-main/scripts/manage_data_quality.py,59,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_data_quality.py,69,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_data_quality.py,438,"print(""\nValidation Results:"")"
Evolve-main/scripts/manage_data_quality.py,439,"print(f""\nTimestamp: {results['timestamp']}"")"
Evolve-main/scripts/manage_data_quality.py,440,"print(f""Data Path: {results['data_path']}"")"
Evolve-main/scripts/manage_data_quality.py,442,"print(""\nSchema Validation:"")"
Evolve-main/scripts/manage_data_quality.py,444,"print(""  ��� Schema validation passed"")"
Evolve-main/scripts/manage_data_quality.py,446,"print(""  ��� Schema validation failed"")"
Evolve-main/scripts/manage_data_quality.py,448,"print(f""    - {result['message']}"")"
Evolve-main/scripts/manage_data_quality.py,450,"print(""\nQuality Validation:"")"
Evolve-main/scripts/manage_data_quality.py,452,"print(""  ��� Quality validation passed"")"
Evolve-main/scripts/manage_data_quality.py,454,"print(""  ��� Quality validation failed"")"
Evolve-main/scripts/manage_data_quality.py,456,"print(f""    - {result['message']}"")"
Evolve-main/scripts/manage_data_quality.py,460,"print(""\nData Analysis Results:"")"
Evolve-main/scripts/manage_data_quality.py,461,"print(f""\nTimestamp: {analysis['timestamp']}"")"
Evolve-main/scripts/manage_data_quality.py,462,"print(f""Data Path: {analysis['data_path']}"")"
Evolve-main/scripts/manage_data_quality.py,464,"print(""\nBasic Statistics:"")"
Evolve-main/scripts/manage_data_quality.py,465,"print(f""  Shape: {analysis['basic_stats']['shape']}"")"
Evolve-main/scripts/manage_data_quality.py,466,"print(f""  Columns: {', '.join(analysis['basic_stats']['columns'])}"")"
Evolve-main/scripts/manage_data_quality.py,468,"print(""\nQuality Metrics:"")"
Evolve-main/scripts/manage_data_quality.py,469,"print(""  Missing Values:"")"
Evolve-main/scripts/manage_data_quality.py,472,"print(f""    - {column}: {count}"")"
Evolve-main/scripts/manage_data_quality.py,474,"print(""\nCorrelations:"")"
Evolve-main/scripts/manage_data_quality.py,478,"print(f""  {col1} - {col2}: {value:.2f}"")"
Evolve-main/scripts/manage_db.py,69,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_db.py,79,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_db.py,165,"print(""\nDatabase Information:"")"
Evolve-main/scripts/manage_db.py,166,"print(f""Redis Version: {info['redis_version']}"")"
Evolve-main/scripts/manage_db.py,167,"print(f""Connected Clients: {info['connected_clients']}"")"
Evolve-main/scripts/manage_db.py,168,"print(f""Used Memory: {info['used_memory_human']}"")"
Evolve-main/scripts/manage_db.py,169,"print(f""Total Keys: {info['db0']['keys']}"")"
Evolve-main/scripts/manage_db.py,170,"print(f""Last Save Time: {datetime.fromtimestamp(info['last_save_time'])}"")"
Evolve-main/scripts/manage_db.py,229,"print(""Monitoring database (press Ctrl+C to stop)..."")"
Evolve-main/scripts/manage_db.py,232,"print(f""{datetime.now()}: {message['data']}"")"
Evolve-main/scripts/manage_debug.py,84,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_debug.py,98,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_debug.py,338,"print(""\nError Monitoring Results:"")"
Evolve-main/scripts/manage_debug.py,339,"print(f""\nTotal Errors: {len(errors)}"")"
Evolve-main/scripts/manage_debug.py,342,"print(""\nRecent Errors:"")"
Evolve-main/scripts/manage_debug.py,344,"print(f""\nTimestamp: {error['timestamp']}"")"
Evolve-main/scripts/manage_debug.py,345,"print(f""Message: {error['message']}"")"
Evolve-main/scripts/manage_debug.py,346,"print(f""File: {error['file']}"")"
Evolve-main/scripts/manage_debug.py,354,"print(""\nError Fix Suggestions:"")"
Evolve-main/scripts/manage_debug.py,357,"print(f""\nError Type: {suggestion['error_type']}"")"
Evolve-main/scripts/manage_debug.py,358,"print(f""Description: {suggestion['description']}"")"
Evolve-main/scripts/manage_debug.py,359,"print(f""Example: {suggestion['example']}"")"
Evolve-main/scripts/manage_debug.py,360,"print(f""Severity: {suggestion['severity']}"")"
Evolve-main/scripts/manage_debug.py,526,"print(""Error: --function is required for debug command"")"
Evolve-main/scripts/manage_debug.py,535,"print(f""Debug result: {result}"")"
Evolve-main/scripts/manage_debug.py,539,"print(""Error: --log-files is required for analyze command"")"
Evolve-main/scripts/manage_debug.py,543,"print(f""Analysis complete: {result['total_errors']} errors found"")"
Evolve-main/scripts/manage_debug.py,547,"print(f""Monitoring complete: {len(result)} errors detected"")"
Evolve-main/scripts/manage_debug.py,551,"print(""Error: --log-files is required for fix command"")"
Evolve-main/scripts/manage_debug.py,556,"print(f""Fix suggestions generated: {len(result)} suggestions"")"
Evolve-main/scripts/manage_debug.py,561,"print(f""Error: {e}"")"
Evolve-main/scripts/manage_deps.py,52,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_deps.py,62,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_deps.py,154,print(result.stdout)
Evolve-main/scripts/manage_deps.py,202,print(result.stdout)
Evolve-main/scripts/manage_docs.py,57,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_docs.py,67,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_docs.py,95,print(result.stderr)
Evolve-main/scripts/manage_docs.py,121,print(result.stderr)
Evolve-main/scripts/manage_docs.py,244,print(result.stderr)
Evolve-main/scripts/manage_env.py,68,"print(""Template created successfully"")"
Evolve-main/scripts/manage_env.py,72,"print(""Environment validation successful"")"
Evolve-main/scripts/manage_env.py,74,"print(""Environment validation failed"")"
Evolve-main/scripts/manage_env.py,79,"print(""Error: --key and --value are required for rotate-secret"")"
Evolve-main/scripts/manage_env.py,82,"print(f""Secret {args.key} rotated successfully"")"
Evolve-main/scripts/manage_env.py,88,"print(f""Error: Python version {python_version.major}.{python_version.minor} is not supported"")"
Evolve-main/scripts/manage_env.py,95,"print(f""Error: Required directory not found: {directory}"")"
Evolve-main/scripts/manage_env.py,98,"print(""Environment health check completed successfully"")"
Evolve-main/scripts/manage_env.py,101,"print(f""Error: {str(e)}"")"
Evolve-main/scripts/manage_health.py,79,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_health.py,89,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_incident.py,79,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_incident.py,89,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_logs.py,55,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_logs.py,65,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_logs.py,179,"print(""\nLog Analysis Results:"")"
Evolve-main/scripts/manage_logs.py,180,"print(f""Total Errors: {analysis_results['error_count']}"")"
Evolve-main/scripts/manage_logs.py,181,"print(f""Total Warnings: {analysis_results['warning_count']}"")"
Evolve-main/scripts/manage_logs.py,184,"print(""\nError Patterns:"")"
Evolve-main/scripts/manage_logs.py,186,"print(f""  {pattern}: {count}"")"
Evolve-main/scripts/manage_logs.py,189,"print(""\nWarning Patterns:"")"
Evolve-main/scripts/manage_logs.py,191,"print(f""  {pattern}: {count}"")"
Evolve-main/scripts/manage_ml.py,160,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_ml.py,174,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_ml.py,612,model.eval()
Evolve-main/scripts/manage_ml.py,665,"print(""\nModel Metrics:"")"
Evolve-main/scripts/manage_ml.py,667,"print(f""{metric}: {value:.4f}"")"
Evolve-main/scripts/manage_ml.py,806,print(__doc__)
Evolve-main/scripts/manage_model.py,70,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_model.py,80,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_model.py,138,"print(""\nModel Evaluation Metrics:"")"
Evolve-main/scripts/manage_model.py,140,"print(f""{metric}: {value:.4f}"")"
Evolve-main/scripts/manage_model.py,191,"print(""\nOptimization Results:"")"
Evolve-main/scripts/manage_model.py,192,"print(f""Best Parameters: {best_params}"")"
Evolve-main/scripts/manage_model.py,193,"print(""\nModel Metrics:"")"
Evolve-main/scripts/manage_model.py,196,"print(f""{metric}: {value:.4f}"")"
Evolve-main/scripts/manage_model.py,364,model.eval()
Evolve-main/scripts/manage_monitor.py,66,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_monitor.py,76,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_monitor.py,196,"print(""\nMetrics Analysis:"")"
Evolve-main/scripts/manage_monitor.py,197,"print(""\nSystem Metrics:"")"
Evolve-main/scripts/manage_monitor.py,199,"print(f""\n{metric.upper()}:"")"
Evolve-main/scripts/manage_monitor.py,200,"print(f""  Average: {values['avg']:.2f}%"")"
Evolve-main/scripts/manage_monitor.py,201,"print(f""  Maximum: {values['max']:.2f}%"")"
Evolve-main/scripts/manage_monitor.py,202,"print(f""  Minimum: {values['min']:.2f}%"")"
Evolve-main/scripts/manage_monitor.py,204,"print(""\nApplication Metrics:"")"
Evolve-main/scripts/manage_monitor.py,205,"print(f""\nTotal Requests: {stats['application']['requests']}"")"
Evolve-main/scripts/manage_monitor.py,206,"print(f""Total Errors: {stats['application']['errors']}"")"
Evolve-main/scripts/manage_monitor.py,207,"print(f""Error Rate: {(stats['application']['errors'] / max(stats['application']['requests'], 1)) * 100:.2f}%"")"
Evolve-main/scripts/manage_monitor.py,208,"print(f""\nLatency:"")"
Evolve-main/scripts/manage_monitor.py,209,"print(f""  Average: {stats['application']['latency']['avg']:.2f}s"")"
Evolve-main/scripts/manage_monitor.py,210,"print(f""  Maximum: {stats['application']['latency']['max']:.2f}s"")"
Evolve-main/scripts/manage_monitor.py,211,"print(f""  Minimum: {stats['application']['latency']['min']:.2f}s"")"
Evolve-main/scripts/manage_performance.py,115,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_performance.py,129,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_performance.py,582,print(__doc__)
Evolve-main/scripts/manage_pipeline.py,100,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_pipeline.py,114,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_pipeline.py,507,print(__doc__)
Evolve-main/scripts/manage_recovery.py,69,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_recovery.py,79,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_recovery.py,507,"print(""\nSystem Health Check Results:"")"
Evolve-main/scripts/manage_recovery.py,508,"print(f""\nTimestamp: {health_check['timestamp']}"")"
Evolve-main/scripts/manage_recovery.py,510,"print(""\nComponents:"")"
Evolve-main/scripts/manage_recovery.py,512,"print(f""\n{component.title()}:"")"
Evolve-main/scripts/manage_recovery.py,514,"print(f""  {key}: {value}"")"
Evolve-main/scripts/manage_recovery.py,516,"print(""\nSystem Metrics:"")"
Evolve-main/scripts/manage_recovery.py,518,"print(f""\n{metric.title()}:"")"
Evolve-main/scripts/manage_recovery.py,521,"print(f""  {key}: {val}"")"
Evolve-main/scripts/manage_recovery.py,523,"print(f""  {value}"")"
Evolve-main/scripts/manage_recovery.py,526,"print(""\nRecommendations:"")"
Evolve-main/scripts/manage_recovery.py,528,"print(f""\n{rec['component'].title()}:"")"
Evolve-main/scripts/manage_recovery.py,529,"print(f""  Issue: {rec['issue']}"")"
Evolve-main/scripts/manage_recovery.py,530,"print(f""  Recommendation: {rec['recommendation']}"")"
Evolve-main/scripts/manage_security.py,61,"print(f""Error: Configuration file not found: {config_path}"")"
Evolve-main/scripts/manage_security.py,71,"print(""Error: logging_config.yaml not found"")"
Evolve-main/scripts/manage_security.py,135,"print(""\nSecurity Check Results:"")"
Evolve-main/scripts/manage_security.py,138,"print(f""\n{status} {check.upper()}"")"
Evolve-main/scripts/manage_security.py,140,"print(""  Issues:"")"
Evolve-main/scripts/manage_security.py,142,"print(f""    - {issue}"")"
Evolve-main/scripts/manage_security.py,144,"print(""  Recommendations:"")"
Evolve-main/scripts/manage_security.py,146,"print(f""    - {rec}"")"
Evolve-main/scripts/monitor_app.py,306,# TODO: Implement actual email sending logic
Evolve-main/scripts/monitor_app.py,489,"print(json.dumps(status, indent=2))"
Evolve-main/scripts/monitor_app.py,494,"print(f""Application health: {health}"")"
Evolve-main/scripts/monitor_app.py,499,"print(f""Monitoring data exported to {args.output}"")"
Evolve-main/scripts/monitor_app.py,501,"print(""Failed to export monitoring data"")"
Evolve-main/scripts/monitor_app.py,509,"print(f""Error: {e}"")"
Evolve-main/scripts/quick_system_check.py,28,"print(""🔍 Evolve Trading Platform - Quick System Check"")"
Evolve-main/scripts/quick_system_check.py,29,"print(""="" * 60)"
Evolve-main/scripts/quick_system_check.py,68,"print(f""✅ {result['description']}"")"
Evolve-main/scripts/quick_system_check.py,71,"print(f""❌ {result['description']}: {result['error']}"")"
Evolve-main/scripts/quick_system_check.py,76,"print(""\n"" + ""="" * 60)"
Evolve-main/scripts/quick_system_check.py,77,"print(f""📊 RESULTS: {successes}/{total} successful ({success_rate:.1f}%)"")"
Evolve-main/scripts/quick_system_check.py,78,"print(f""✅ Successes: {successes}"")"
Evolve-main/scripts/quick_system_check.py,79,"print(f""❌ Failures: {failures}"")"
Evolve-main/scripts/quick_system_check.py,82,"print(""\n🔧 FAILED MODULES:"")"
Evolve-main/scripts/quick_system_check.py,85,"print(f""  - {result['module']}: {result['error']}"")"
Evolve-main/scripts/quick_system_check.py,87,"print(""\n🎯 RL Module Status: ✅ WORKING"")"
Evolve-main/scripts/quick_system_check.py,88,"print(""🚀 System is ready for institutional-grade trading!"")"
Evolve-main/scripts/run_comprehensive_tests.py,342,"print(""\n🎉 All tests passed successfully!"")"
Evolve-main/scripts/run_comprehensive_tests.py,343,"print(""✅ pandas-ta compatibility verified"")"
Evolve-main/scripts/run_comprehensive_tests.py,344,"print(""✅ Strategy tests completed"")"
Evolve-main/scripts/run_comprehensive_tests.py,345,"print(""✅ Agent tests completed"")"
Evolve-main/scripts/run_comprehensive_tests.py,346,"print(""✅ Integration tests completed"")"
Evolve-main/scripts/run_comprehensive_tests.py,347,"print(""✅ Code coverage generated"")"
Evolve-main/scripts/run_comprehensive_tests.py,348,"print(""\n📊 Check test_report.json for detailed results"")"
Evolve-main/scripts/run_comprehensive_tests.py,349,"print(""📊 Check htmlcov/ for coverage report"")"
Evolve-main/scripts/run_comprehensive_tests.py,351,"print(""\n❌ Some tests failed!"")"
Evolve-main/scripts/run_comprehensive_tests.py,352,"print(""📊 Check test_report.json for detailed results"")"
Evolve-main/scripts/run_comprehensive_tests.py,353,"print(""📋 Check test_run.log for detailed logs"")"
Evolve-main/scripts/run_tests.py,31,"print(f""Tests failed with exit code {e.returncode}"")"
Evolve-main/scripts/run_tests.py,36,"print(""Running tests..."")"
Evolve-main/scripts/run_tests.py,38,"print(""Tests completed!"")"
